show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0011,Movie,The Great Escape,Emily Wilson,Michael Taylor,"Spain, South Korea","May 15, 2024",2002,TV-MA,109 min,Stand-Up Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0012,TV Show,The Academy,,"Ravi Moore, Emily Davis","India, Brazil, South Korea","June 08, 2026",2001,TV-14,1 Season,"Thrillers, Drama, Comedy",A group of strangers discovers a secret that changes their lives forever.
s0013,Movie,The Silent House,Robert Patel,,"Brazil, United States","April 03, 2020",2014,PG-13,112 min,Crime TV Shows,"A powerful story exploring relationships, identity, and the search for belonging."
s0014,Movie,The Forgotten Road,Michael Singh,"Emily Taylor, Alex Martinez",Australia,"May 01, 2023",2023,R,175 min,"Crime TV Shows, Documentaries","A powerful story exploring relationships, identity, and the search for belonging."
s0015,TV Show,Unknown Files,,"Chris Martinez, Chris Anderson, Thomas Singh","Japan, Canada","December 31, 2021",1992,TV-Y,4 Seasons,Kids' TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0016,Movie,The Last Horizon 2025,Jordan Wilson,"Jordan Garcia, Priya Davis, Alex Lee",Brazil,"December 16, 2025",2004,NR,178 min,"Drama, Reality TV",A young protagonist must overcome difficult challenges to find a new beginning.
s0017,Movie,The Long Road Home,Kiran Garcia,Olivia Jackson,"India, South Korea, United States",,1995,G,148 min,"Reality TV, International Movies","A compelling story about friendship, family, and unexpected choices."
s0018,Movie,One More Day 2025,Emma Patel,"Ravi Moore, Priya Sharma","United States, Brazil","June 08, 2021",2006,TV-14,130 min,British TV Shows,A group of strangers discovers a secret that changes their lives forever.
s0019,Movie,One More Day,Ava Wilson,"Emma Brown, Ava Davis, Lucas Sharma, Arjun Davis",Germany,"April 13, 2019",1991,PG,160 min,Drama,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0020,TV Show,After Midnight,,,Australia,"June 23, 2024",1994,TV-MA,1 Season,"Docuseries, Romantic Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0021,Movie,City of Shadows,Kiran Williams,Alex Garcia,"Japan, Brazil","July 05, 2022",2004,TV-14,175 min,"Stand-Up Comedy, Crime TV Shows","A powerful story exploring relationships, identity, and the search for belonging."
s0022,Movie,The Last Horizon,Jordan Anderson,Ava Wilson,"Australia, India","September 11, 2020",2007,TV-14,142 min,Reality TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0023,TV Show,The Detectives 2013,,"Grace Johnson, Ananya Sharma, Emma Moore","Germany, Australia, India","January 21, 2019",2000,TV-Y7,5 Seasons,"Crime TV Shows, Romantic Movies, International Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0024,TV Show,The Academy,Kiran Kumar,,Brazil,"April 05, 2023",1993,TV-G,5 Seasons,"Action & Adventure, Sci-Fi & Fantasy, International Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0025,Movie,Hidden Truth 2014,Ananya Wilson,Ava Jones,France,"May 29, 2019",2007,TV-MA,162 min,"International Movies, Docuseries, Reality TV",A young protagonist must overcome difficult challenges to find a new beginning.
s0026,TV Show,After Midnight,,"David Kumar, Liam Anderson, Daniel Taylor",Canada,"March 15, 2020",2020,TV-MA,2 Seasons,"Reality TV, Kids' TV, Drama","A powerful story exploring relationships, identity, and the search for belonging."
s0027,Movie,Summer Dreams,Jordan Moore,"Noah Williams, Ethan Thomas, Emily Martin, Emma Johnson",Spain,"January 21, 2020",2020,NR,165 min,"Sci-Fi & Fantasy, Reality TV","A compelling story about friendship, family, and unexpected choices."
s0028,Movie,The Forgotten Road 2017,,Ravi Lee,"Italy, Canada","May 04, 2019",2015,PG,178 min,"Sci-Fi & Fantasy, Thrillers","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0029,TV Show,The Last Kingdom 2022,,,"Germany, Australia","May 08, 2019",2005,TV-Y,1 Season,"Docuseries, Stand-Up Comedy","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0030,Movie,The Secret Garden,,"Mia Thomas, Sophia Johnson, Priya Miller, Ethan Brown",Mexico,"March 17, 2020",1995,TV-14,103 min,International Movies,"A powerful story exploring relationships, identity, and the search for belonging."
s0031,Movie,The Forgotten Road,,Arjun Williams,,"July 14, 2021",2021,G,172 min,Children & Family Movies,A group of strangers discovers a secret that changes their lives forever.
s0032,TV Show,Life in Mumbai,,"Kiran Smith, Ananya Patel, William Martin, Emma Martin",United Kingdom,"July 11, 2024",2008,TV-G,8 Seasons,Thrillers,"A powerful story exploring relationships, identity, and the search for belonging."
s0033,TV Show,Unknown Files,,Olivia Kim,,"February 18, 2024",2016,TV-Y7,6 Seasons,Drama,A group of strangers discovers a secret that changes their lives forever.
s0034,TV Show,Daily Dose 2010,Ethan Moore,Ava Patel,"Brazil, Spain","September 15, 2020",2017,TV-PG,10 Seasons,Docuseries,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0035,Movie,Summer Dreams,Michael Sharma,Liam Johnson,Italy,,2011,PG,89 min,"British TV Shows, Comedy, Anime Series",A group of strangers discovers a secret that changes their lives forever.
s0036,TV Show,Modern Families,,"Mia Kumar, Ava Johnson","Japan, Brazil","December 28, 2025",1991,TV-MA,2 Seasons,"Thrillers, Documentaries","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0037,Movie,Summer Dreams,,"Noah Moore, Grace Davis, Grace Singh","Japan, United States, Germany","June 14, 2024",1997,TV-MA,147 min,"Drama, Thrillers",A group of strangers discovers a secret that changes their lives forever.
s0038,Movie,One More Day,Olivia Sharma,"Alex Williams, Ravi Wilson, Daniel Patel","South Korea, Brazil","August 31, 2023",2007,TV-MA,171 min,"Children & Family Movies, Drama","A powerful story exploring relationships, identity, and the search for belonging."
s0039,TV Show,Young Hearts,Ava Jackson,"Robert Thomas, Olivia Smith, Priya Kim, Ethan Thomas",France,"December 21, 2023",1990,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0040,Movie,One More Day,,"Sophia Garcia, Isabella Kumar, Thomas Chen, Robert Kumar",India,"January 08, 2024",2009,TV-14,153 min,"International Movies, Docuseries","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0041,Movie,The Last Horizon,Ravi Thomas,"Daniel Johnson, David Jackson, Daniel Davis",Japan,"May 04, 2019",2002,TV-MA,129 min,"Stand-Up Comedy, Documentaries","A powerful story exploring relationships, identity, and the search for belonging."
s0042,TV Show,The New Generation,,Ava Moore,"Australia, Spain","October 31, 2018",1994,TV-Y,1 Season,Stand-Up Comedy,A young protagonist must overcome difficult challenges to find a new beginning.
s0043,TV Show,Young Hearts,,"Olivia Anderson, James Martin, James Sharma","Spain, France","July 10, 2021",2000,TV-G,5 Seasons,Anime Series,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0044,Movie,Broken Promises,Ananya Martin,Michael Moore,"United Kingdom, South Korea",,1994,TV-MA,180 min,"International Movies, Docuseries, Crime TV Shows","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0045,Movie,The Forgotten Road,,"Daniel Martin, Emily Johnson, Kiran Jones",Spain,"October 08, 2024",1995,G,84 min,"Comedy, Sci-Fi & Fantasy, Stand-Up Comedy","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0046,Movie,Hidden Truth,Jordan Chen,"David Kim, Grace Wilson, James Smith, Liam Patel",Australia,"May 29, 2018",2018,TV-14,160 min,"Comedy, Sci-Fi & Fantasy, Anime Series",A group of strangers discovers a secret that changes their lives forever.
s0047,Movie,City of Shadows,Ananya Taylor,"Michael Kumar, Mia Garcia","Japan, Italy","December 16, 2025",1991,PG,159 min,Stand-Up Comedy,"A compelling story about friendship, family, and unexpected choices."
s0048,TV Show,The Last Kingdom,Ethan Williams,"Emma Kumar, Arjun Lee","Australia, United Kingdom","October 04, 2019",2014,TV-MA,1 Season,"Drama, Kids' TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0049,Movie,Lost in Time,Kiran Smith,"Maya Miller, Chris Smith","United States, Italy, United Kingdom","June 01, 2025",2004,NR,154 min,"Thrillers, Sci-Fi & Fantasy","A powerful story exploring relationships, identity, and the search for belonging."
s0050,TV Show,The Family House,,"Kiran Wilson, Liam Thomas","France, Germany","August 30, 2018",1999,TV-Y,2 Seasons,International Movies,"A compelling story about friendship, family, and unexpected choices."
s0051,Movie,Broken Promises,Olivia Smith,"Robert Taylor, Jordan Lee, Grace Williams, Emily Brown",Germany,"May 31, 2021",2017,TV-PG,157 min,Drama,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0052,TV Show,The Detectives 2012,,Robert Jackson,Japan,"May 28, 2026",2002,TV-PG,5 Seasons,"International Movies, Crime TV Shows","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0053,TV Show,Young Hearts,Ethan Kumar,"Liam Jackson, James Johnson",Canada,,2023,TV-14,1 Season,"Docuseries, Comedy",A group of strangers discovers a secret that changes their lives forever.
s0054,TV Show,Beyond Borders,,Mia Williams,Brazil,"January 07, 2025",1996,TV-MA,4 Seasons,Comedy,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0055,Movie,Echoes of Tomorrow,,"Mia Thomas, James Taylor, Ravi Patel",Mexico,"September 30, 2022",2004,TV-MA,93 min,British TV Shows,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0056,Movie,Broken Promises,,,Spain,"August 15, 2022",2009,G,144 min,"Stand-Up Comedy, Reality TV, Kids' TV","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0057,Movie,The Secret Garden,,Michael Chen,"France, South Korea","January 10, 2021",2010,NR,84 min,Documentaries,A young protagonist must overcome difficult challenges to find a new beginning.
s0058,Movie,City of Shadows,Liam Brown,"Robert Davis, Kiran Anderson, Michael Singh",Japan,"December 10, 2018",2001,PG,107 min,"Thrillers, British TV Shows",A young protagonist must overcome difficult challenges to find a new beginning.
s0059,TV Show,Daily Dose,Ethan Jackson,Ava Lee,Japan,"February 27, 2025",2010,TV-14,1 Season,"Anime Series, British TV Shows, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0060,Movie,Under the Stars,Michael Kumar,"Alex Brown, Priya Garcia, Jordan Jones",Australia,"April 10, 2022",2016,TV-PG,77 min,"Children & Family Movies, Kids' TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0061,TV Show,Beyond Borders,Olivia Taylor,"Kiran Smith, Robert Chen, Maya Williams, Daniel Lee",,"February 27, 2024",1995,TV-Y7,10 Seasons,"Anime Series, Kids' TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0062,TV Show,The Family House,Sophia Lee,"Sophia Miller, Mia Taylor, Ananya Chen, Priya Singh","United Kingdom, Japan","May 20, 2024",2008,TV-Y,6 Seasons,"Anime Series, Kids' TV","A compelling story about friendship, family, and unexpected choices."
s0063,Movie,The Last Horizon 2008,Mia Thomas,William Taylor,Germany,"May 19, 2026",2022,G,126 min,"International Movies, Children & Family Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0064,TV Show,Life in Mumbai 2018,,Grace Sharma,"Italy, India","March 11, 2024",1995,TV-PG,2 Seasons,Action & Adventure,A group of strangers discovers a secret that changes their lives forever.
s0065,TV Show,Young Hearts,Sophia Garcia,"Mia Singh, Emma Martin, Mia Martin",Australia,"September 24, 2022",2002,TV-MA,3 Seasons,Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0066,Movie,Under the Stars,,"Mia Kumar, Noah Kim","South Korea, Japan","June 20, 2023",2000,TV-PG,107 min,"Crime TV Shows, International Movies, British TV Shows","A powerful story exploring relationships, identity, and the search for belonging."
s0067,TV Show,Code Breakers 2011,,,United Kingdom,,2017,TV-MA,5 Seasons,"Children & Family Movies, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0068,TV Show,The New Generation 2023,,Ava Martinez,"Brazil, Spain","January 25, 2023",1995,TV-PG,3 Seasons,"Kids' TV, Crime TV Shows, Anime Series","A powerful story exploring relationships, identity, and the search for belonging."
s0069,Movie,Summer Dreams,Kiran Taylor,"Jordan Thomas, Daniel Singh, Emily Williams",United Kingdom,"June 27, 2020",2020,PG,142 min,"International Movies, Anime Series, Sci-Fi & Fantasy","A powerful story exploring relationships, identity, and the search for belonging."
s0070,TV Show,Life in Mumbai 2020,Lucas Singh,"Emma Singh, Grace Sharma, Noah Martinez",Germany,"February 03, 2019",2012,TV-Y,1 Season,Sci-Fi & Fantasy,A young protagonist must overcome difficult challenges to find a new beginning.
s0071,TV Show,Hidden Lives 2016,,"James Miller, Michael Smith, Daniel Jones, Alex Lee","Canada, United States","April 23, 2018",2015,TV-Y,1 Season,"Romantic Movies, Thrillers, Stand-Up Comedy","A compelling story about friendship, family, and unexpected choices."
s0072,TV Show,City Stories,Mia Brown,Liam Martin,Germany,"February 08, 2026",1990,TV-Y,1 Season,Thrillers,"A compelling story about friendship, family, and unexpected choices."
s0073,TV Show,The Detectives,,,United States,"January 16, 2021",2006,TV-MA,3 Seasons,"Children & Family Movies, Documentaries","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0074,Movie,Midnight Streets,Daniel Kumar,"Noah Singh, Olivia Jones, Thomas Sharma, Chris Kim",South Korea,"June 17, 2019",1998,R,118 min,"Reality TV, Comedy, International Movies",A group of strangers discovers a secret that changes their lives forever.
s0075,Movie,Hidden Truth,James Taylor,,Italy,"December 22, 2018",1990,R,179 min,Action & Adventure,A young protagonist must overcome difficult challenges to find a new beginning.
s0076,Movie,A Second Chance,Chris Davis,"Chris Davis, James Martinez",India,"August 24, 2025",2019,TV-PG,120 min,Action & Adventure,A young protagonist must overcome difficult challenges to find a new beginning.
s0077,Movie,The Forgotten Road,James Brown,"William Sharma, Ananya Moore",India,"January 31, 2025",2021,TV-PG,174 min,"International Movies, Crime TV Shows, Documentaries","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0078,Movie,The Final Journey,Ava Thomas,"David Wilson, Olivia Martin, Emma Moore",Brazil,"October 24, 2022",2002,R,178 min,"Docuseries, Documentaries, Thrillers",A young protagonist must overcome difficult challenges to find a new beginning.
s0079,Movie,City of Shadows,,"Alex Thomas, James Sharma","United States, Spain, Canada","May 10, 2019",2019,R,90 min,"British TV Shows, Kids' TV","A compelling story about friendship, family, and unexpected choices."
s0080,TV Show,The Family House,,Grace Martin,Italy,"July 28, 2025",2024,TV-PG,2 Seasons,Kids' TV,A group of strangers discovers a secret that changes their lives forever.
s0081,TV Show,Young Hearts,William Taylor,"Noah Patel, James Jackson, Kiran Jackson, Priya Brown","France, United States, South Korea","February 13, 2025",2018,TV-Y7,10 Seasons,Drama,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0082,TV Show,The Family House,Jordan Sharma,Chris Martin,Spain,"August 30, 2025",2025,TV-Y7,4 Seasons,British TV Shows,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0083,Movie,Under the Stars,Daniel Miller,"James Davis, Alex Lee, Maya Miller",,"April 14, 2018",2013,TV-14,121 min,"Comedy, Stand-Up Comedy","A compelling story about friendship, family, and unexpected choices."
s0084,Movie,Summer Dreams 2016,Liam Williams,Ananya Patel,"Japan, South Korea","February 19, 2024",2008,R,158 min,"International Movies, Reality TV",A young protagonist must overcome difficult challenges to find a new beginning.
s0085,Movie,The Forgotten Road,Ethan Brown,,United States,"September 03, 2021",2021,G,148 min,"Documentaries, Docuseries","A powerful story exploring relationships, identity, and the search for belonging."
s0086,TV Show,The New Generation,Lucas Garcia,"Thomas Davis, Lucas Thomas, Maya Miller, Ananya Lee",United Kingdom,"July 18, 2022",1991,TV-MA,3 Seasons,British TV Shows,A young protagonist must overcome difficult challenges to find a new beginning.
s0087,Movie,Midnight Streets,Jordan Kim,William Brown,Spain,"October 27, 2020",1993,TV-PG,104 min,"Reality TV, British TV Shows","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0088,TV Show,The Academy 2020,,Emma Patel,"Japan, India","August 30, 2021",1992,TV-G,3 Seasons,Reality TV,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0089,Movie,Broken Promises,Thomas Davis,,"Spain, India","March 04, 2018",2017,PG-13,120 min,"Kids' TV, Reality TV","A compelling story about friendship, family, and unexpected choices."
s0090,TV Show,The Last Kingdom,,"Chris Brown, Mia Anderson, Emily Anderson, Ravi Miller",Italy,"July 21, 2019",2019,TV-Y,1 Season,International Movies,"A powerful story exploring relationships, identity, and the search for belonging."
s0091,Movie,City of Shadows,,"James Chen, Ava Kim",Brazil,"June 10, 2026",2017,PG,79 min,Docuseries,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0092,Movie,One More Day,Alex Singh,Ananya Williams,France,"January 28, 2024",2006,TV-14,107 min,"International Movies, Thrillers","A compelling story about friendship, family, and unexpected choices."
s0093,TV Show,Worlds Apart,,Sophia Kim,Canada,"November 21, 2025",2007,TV-Y,3 Seasons,British TV Shows,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0094,Movie,The Secret Garden,Ananya Chen,"Kiran Davis, Ravi Sharma, Isabella Chen",South Korea,"July 12, 2021",1996,NR,138 min,"Comedy, International Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0095,Movie,A Second Chance,Sophia Thomas,"Lucas Anderson, James Martinez, Ava Lee",Japan,"December 25, 2025",2016,PG,150 min,Children & Family Movies,"A powerful story exploring relationships, identity, and the search for belonging."
s0096,TV Show,The Next Chapter,,,Canada,"February 12, 2026",2000,TV-Y,2 Seasons,"Docuseries, Reality TV, Children & Family Movies",A young protagonist must overcome difficult challenges to find a new beginning.
s0097,Movie,One More Day,Michael Patel,,Japan,"May 10, 2022",2007,PG-13,132 min,Stand-Up Comedy,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0098,Movie,The Great Escape,James Brown,Robert Sharma,France,"June 07, 2026",2009,NR,139 min,Stand-Up Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0099,TV Show,Inside the Case,,,Germany,"August 03, 2023",1992,TV-Y,2 Seasons,"Action & Adventure, Stand-Up Comedy, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0100,Movie,Beyond the River 2005,Lucas Brown,Ava Anderson,"Germany, United States","July 24, 2020",2001,PG,175 min,Documentaries,"A compelling story about friendship, family, and unexpected choices."
s0101,TV Show,Modern Families,,"Michael Williams, Sophia Kim","Brazil, Spain","February 22, 2018",2017,TV-Y,2 Seasons,Crime TV Shows,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0102,Movie,The Secret Garden,Thomas Williams,"Grace Martin, Maya Jackson, Robert Wilson, Ananya Lee",Spain,"July 27, 2026",2013,PG-13,106 min,"Anime Series, Romantic Movies",A group of strangers discovers a secret that changes their lives forever.
s0103,TV Show,The Academy,Mia Kumar,"Olivia Smith, Emma Wilson, Thomas Singh",Japan,"March 13, 2018",1997,TV-14,4 Seasons,Crime TV Shows,"A powerful story exploring relationships, identity, and the search for belonging."
s0104,TV Show,Life in Mumbai,,Ethan Sharma,"France, Canada","October 07, 2023",2023,TV-MA,8 Seasons,British TV Shows,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0105,Movie,The Last Horizon,,Ava Williams,"Australia, Italy, United Kingdom","November 16, 2024",2016,PG,116 min,"Romantic Movies, Action & Adventure, Drama",A group of strangers discovers a secret that changes their lives forever.
s0106,TV Show,The Family House,,Kiran Williams,"France, United Kingdom, Spain","June 14, 2019",2016,TV-Y,2 Seasons,"Romantic Movies, Comedy","A compelling story about friendship, family, and unexpected choices."
s0107,TV Show,Life in Mumbai 2004,,Maya Kim,Mexico,"May 31, 2022",2014,TV-14,5 Seasons,"Drama, Reality TV, Thrillers","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0108,TV Show,Daily Dose,Isabella Wilson,"Ananya Kumar, Grace Brown",Canada,"January 25, 2019",2015,TV-MA,5 Seasons,"Thrillers, Sci-Fi & Fantasy","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0109,TV Show,Daily Dose,Ethan Brown,,"Italy, Germany, South Korea","March 15, 2025",1991,TV-Y,4 Seasons,Sci-Fi & Fantasy,A group of strangers discovers a secret that changes their lives forever.
s0110,TV Show,Young Hearts,,"Emma Martin, Ananya Anderson, Michael Taylor",Italy,"March 19, 2023",2011,TV-MA,4 Seasons,Romantic Movies,"A compelling story about friendship, family, and unexpected choices."
s0111,Movie,A Second Chance,,"Emma Patel, Emily Singh, Grace Williams",,"October 03, 2023",2007,TV-PG,157 min,British TV Shows,A group of strangers discovers a secret that changes their lives forever.
s0112,Movie,Broken Promises 2014,,Ananya Chen,United Kingdom,"March 05, 2018",2010,TV-MA,78 min,"Horror Movies, Comedy, Drama","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0113,Movie,Echoes of Tomorrow,,"Jordan Martin, Thomas Taylor, Thomas Miller, Daniel Singh","Mexico, Spain","April 25, 2026",1993,TV-14,143 min,Horror Movies,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0114,TV Show,City Stories,,,,"December 15, 2024",2000,TV-Y7,2 Seasons,"Children & Family Movies, Stand-Up Comedy, Sci-Fi & Fantasy",A young protagonist must overcome difficult challenges to find a new beginning.
s0115,TV Show,The Detectives,William Kim,"Chris Garcia, James Martinez, Thomas Jackson, Mia Jones",United Kingdom,"June 11, 2019",2003,TV-Y,4 Seasons,Reality TV,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0116,TV Show,The Family House,Priya Smith,Liam Williams,,"February 12, 2018",2004,TV-14,4 Seasons,"Kids' TV, Crime TV Shows","A powerful story exploring relationships, identity, and the search for belonging."
s0117,TV Show,Hidden Lives,,"Alex Williams, Kiran Williams, Chris Moore",Australia,"February 09, 2021",2018,TV-14,6 Seasons,"Reality TV, Docuseries","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0118,TV Show,Young Hearts,,"David Jackson, Ethan Davis, Emily Anderson",Germany,"March 03, 2019",2019,TV-14,5 Seasons,"Drama, Action & Adventure","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0119,TV Show,The Family House,Olivia Thomas,"Mia Jackson, Michael Sharma, Michael Patel, Mia Garcia",India,"December 22, 2025",2008,TV-Y7,1 Season,"Kids' TV, Horror Movies",A group of strangers discovers a secret that changes their lives forever.
s0120,Movie,Parallel Lives,,"Ethan Thomas, Ananya Jackson",Brazil,"May 28, 2024",2013,NR,112 min,Stand-Up Comedy,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0121,Movie,Beyond the River,James Patel,Olivia Kim,Italy,,2022,G,111 min,"Children & Family Movies, Thrillers","A powerful story exploring relationships, identity, and the search for belonging."
s0122,Movie,One More Day 2017,James Martinez,"Noah Chen, Emily Taylor, Ravi Martin, Lucas Jones",Germany,"August 12, 2018",2017,R,76 min,"British TV Shows, Crime TV Shows, Children & Family Movies",A group of strangers discovers a secret that changes their lives forever.
s0123,Movie,One More Day,,"Isabella Jackson, Robert Sharma, Priya Kumar",Germany,"May 02, 2024",1990,PG-13,77 min,"Thrillers, British TV Shows, Crime TV Shows","A compelling story about friendship, family, and unexpected choices."
s0124,Movie,The Forgotten Road 2012,Chris Thomas,,Italy,"December 25, 2020",2007,TV-MA,80 min,Thrillers,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0125,TV Show,The New Generation,,"Maya Kim, Liam Wilson, Liam Taylor",Mexico,"April 02, 2024",1997,TV-MA,1 Season,"Drama, Stand-Up Comedy","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0126,TV Show,Modern Families,,David Davis,Germany,"April 15, 2024",1995,TV-Y,3 Seasons,Documentaries,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0127,Movie,The Great Escape,,"David Taylor, Isabella Thomas",France,"August 31, 2023",1995,NR,92 min,"Action & Adventure, Crime TV Shows, Romantic Movies",A young protagonist must overcome difficult challenges to find a new beginning.
s0128,Movie,City of Shadows,Daniel Wilson,"Kiran Taylor, Ethan Miller","Italy, Spain","July 03, 2019",2002,TV-MA,169 min,"Romantic Movies, Thrillers, Drama","A powerful story exploring relationships, identity, and the search for belonging."
s0129,TV Show,The Last Kingdom,,"James Singh, Emily Patel, Ava Kim, Robert Singh",United States,"December 27, 2025",2008,TV-14,2 Seasons,Anime Series,"A powerful story exploring relationships, identity, and the search for belonging."
s0130,TV Show,The Detectives,,,United States,"August 28, 2021",1997,TV-Y,5 Seasons,Comedy,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0131,Movie,City of Shadows,Liam Smith,"Ava Martin, William Johnson","Italy, Mexico",,1997,PG,149 min,"Drama, British TV Shows","A compelling story about friendship, family, and unexpected choices."
s0132,Movie,Midnight Streets,Olivia Jackson,Ethan Patel,Mexico,"June 30, 2024",2014,TV-MA,136 min,Docuseries,A group of strangers discovers a secret that changes their lives forever.
s0133,Movie,Beyond the River,Lucas Kim,Emma Miller,"South Korea, Spain","December 01, 2023",2002,NR,160 min,"Crime TV Shows, Documentaries","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0134,TV Show,The Family House,Robert Davis,"Noah Taylor, Thomas Johnson, Alex Patel, Grace Chen",United States,"April 04, 2019",2018,TV-Y7,10 Seasons,"Crime TV Shows, Action & Adventure, Comedy","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0135,TV Show,Unknown Files,Alex Garcia,"David Kim, William Garcia, Alex Kim, Ava Martinez",Australia,"December 07, 2024",2006,TV-Y7,2 Seasons,Kids' TV,A group of strangers discovers a secret that changes their lives forever.
s0136,Movie,One More Day 2012,Ravi Smith,"David Miller, Thomas Miller, Ravi Johnson, Daniel Martinez","Canada, Germany","April 18, 2021",2003,PG-13,118 min,International Movies,A group of strangers discovers a secret that changes their lives forever.
s0137,Movie,Into the Wild,William Lee,Kiran Taylor,"South Korea, Germany","October 07, 2021",1991,NR,130 min,Comedy,A group of strangers discovers a secret that changes their lives forever.
